iter	Passed	Remaining
0	15	4568
1	35	5291
2	48	4798
3	61	4583
4	76	4489
5	89	4383
6	102	4299
7	121	4439
8	137	4436
9	150	4375
10	164	4325
11	177	4268
12	189	4192
13	202	4129
14	214	4081
15	226	4025
16	238	3978
17	253	3965
18	265	3927
19	277	3889
20	290	3857
21	302	3822
22	314	3790
23	326	3754
24	338	3724
25	350	3694
26	364	3683
27	376	3662
28	388	3633
29	402	3618
30	413	3589
31	425	3564
32	436	3535
33	448	3509
34	460	3486
35	471	3461
36	483	3434
37	494	3409
38	508	3400
39	519	3375
40	531	3354
41	543	3336
42	554	3314
43	565	3289
44	576	3269
45	587	3246
46	603	3247
47	615	3229
48	625	3205
49	636	3184
50	647	3163
51	659	3144
52	670	3125
53	682	3108
54	697	3107
55	709	3090
56	720	3073
57	731	3052
58	742	3032
59	753	3013
60	765	2997
61	776	2981
62	792	2981
63	804	2964
64	814	2945
65	826	2928
66	837	2912
67	849	2898
68	861	2882
69	872	2865
70	884	2851
71	897	2841
72	910	2829
73	923	2819
74	934	2804
75	946	2788
76	959	2778
77	972	2767
78	984	2755
79	996	2741
80	1008	2726
81	1020	2712
82	1032	2699
83	1043	2684
84	1055	2670
85	1068	2657
86	1082	2649
87	1093	2635
88	1106	2624
89	1118	2610
90	1130	2596
91	1142	2583
92	1154	2569
93	1165	2554
94	1177	2540
95	1189	2527
96	1201	2514
97	1215	2505
98	1227	2492
99	1239	2478
100	1250	2464
101	1262	2450
102	1274	2437
103	1286	2424
104	1298	2410
105	1310	2398
106	1321	2383
107	1332	2369
108	1344	2356
109	1356	2343
110	1368	2329
111	1380	2317
112	1392	2305
113	1404	2291
114	1415	2276
115	1426	2263
116	1438	2250
117	1449	2236
118	1462	2223
119	1473	2209
120	1485	2197
121	1496	2182
122	1508	2170
123	1519	2156
124	1529	2141
125	1540	2127
126	1552	2114
127	1563	2100
128	1574	2086
129	1586	2074
130	1597	2061
131	1608	2047
132	1621	2035
133	1632	2022
134	1643	2009
135	1655	1996
136	1666	1982
137	1676	1968
138	1688	1956
139	1699	1942
140	1711	1929
141	1723	1917
142	1734	1904
143	1743	1889
144	1753	1874
145	1764	1861
146	1778	1851
147	1790	1838
148	1801	1826
149	1813	1813
150	1825	1800
151	1838	1790
152	1852	1779
153	1864	1767
154	1877	1756
155	1892	1746
156	1908	1738
157	1930	1735
158	1943	1723
159	1955	1711
160	1968	1699
161	1981	1688
162	1997	1678
163	2011	1668
164	2025	1657
165	2040	1646
166	2051	1634
167	2064	1622
168	2079	1612
169	2091	1599
170	2103	1586
171	2117	1576
172	2130	1563
173	2145	1553
174	2157	1541
175	2169	1528
176	2181	1516
177	2193	1503
178	2206	1491
179	2221	1480
180	2246	1477
181	2259	1465
182	2273	1453
183	2285	1440
184	2297	1427
185	2309	1415
186	2321	1402
187	2334	1390
188	2357	1384
189	2380	1377
190	2391	1364
191	2403	1351
192	2415	1338
193	2428	1327
194	2440	1314
195	2451	1300
196	2463	1287
197	2474	1274
198	2496	1266
199	2507	1253
200	2519	1241
201	2531	1228
202	2542	1215
203	2555	1202
204	2567	1189
205	2578	1176
206	2590	1163
207	2602	1151
208	2613	1138
209	2625	1125
210	2636	1111
211	2647	1099
212	2659	1086
213	2670	1073
214	2681	1060
215	2692	1047
216	2704	1034
217	2715	1021
218	2726	1008
219	2736	995
220	2747	982
221	2758	969
222	2769	956
223	2780	943
224	2791	930
225	2802	917
226	2813	904
227	2823	891
228	2838	879
229	2849	867
230	2861	854
231	2875	842
232	2887	830
233	2898	817
234	2911	805
235	2922	792
236	2934	780
237	2946	767
238	2958	754
239	2969	742
240	2981	729
241	2992	717
242	3004	704
243	3018	692
244	3033	680
245	3045	668
246	3059	656
247	3070	643
248	3082	631
249	3094	618
250	3106	606
251	3117	593
252	3127	581
253	3137	568
254	3147	555
255	3157	542
256	3168	530
257	3179	517
258	3190	505
259	3202	492
260	3213	480
261	3224	467
262	3235	455
263	3246	442
264	3257	430
265	3268	417
266	3279	405
267	3290	392
268	3301	380
269	3312	368
270	3324	355
271	3335	343
272	3347	331
273	3359	318
274	3372	306
275	3383	294
276	3396	282
277	3408	269
278	3421	257
279	3433	245
280	3445	232
281	3455	220
282	3466	208
283	3478	195
284	3489	183
285	3501	171
286	3513	159
287	3525	146
288	3537	134
289	3550	122
290	3561	110
291	3573	97
292	3586	85
293	3598	73
294	3609	61
295	3620	48
296	3632	36
297	3643	24
298	3655	12
299	3666	0
